CF_Scaffold_ID,CF_Scaffold_SMILES,NATx_SMILES,NATx_ID,Substructure_SMILES,Chemotype
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(OC(F)(F)F)cc3)no2)N(Cc2cccs2)C1,NAT18-348773,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,Cc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(OC(F)(F)F)cc3)no2)cc1,NAT18-348775,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,COc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(OC(F)(F)F)cc3)no2)c(OC)c1OC,NAT18-348777,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,CC(C)N1C[C@H](O)C[C@H]1c1nc(-c2ccc(OC(F)(F)F)cc2)no1,NAT18-348779,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,CC(=O)Nc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(OC(F)(F)F)cc3)no2)cc1,NAT18-348780,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(OC(F)(F)F)cc3)no2)N(Cc2cc3ccccc3o2)C1,NAT18-348783,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(OC(F)(F)F)cc3)no2)N(Cc2ncc[nH]2)C1,NAT18-348785,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@@H]1C[C@@H](c2nc(-c3ccc(OC(F)(F)F)cc3)no2)N(Cc2ccc(-c3ccccn3)cc2)C1,NAT18-348788,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,CS(=O)(=O)c1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(OC(F)(F)F)cc3)no2)cc1,NAT18-348790,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,O[C@H]1CN[C@H](c2nc(-c3ccc(OC(F)(F)F)cc3)no2)C1,NAT18-348791,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,CC(=O)N1CCC(N2C[C@H](O)C[C@H]2c2nc(-c3ccc(C)c(F)c3)no2)CC1,NAT18-348849,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,COc1ccc(CN2C[C@H](O)C[C@H]2c2nc(-c3ccc(C)c(F)c3)no2)cc1,NAT18-348850,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,Cc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3Cc3ccccc3)n2)cc1F,NAT18-348851,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,Cc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3Cc3ccc(Cl)cc3)n2)cc1F,NAT18-348857,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,Cc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3Cc3cccc(C#N)c3)n2)cc1F,NAT18-348858,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,Cc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3CC3CCCCC3)n2)cc1F,NAT18-348859,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,Cc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3C3CCCCC3)n2)cc1F,NAT18-348860,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,Cc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3Cc3ccc(N(C)C)cc3)n2)cc1F,NAT18-348862,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,Cc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3Cc3ccc(F)cc3)n2)cc1F,NAT18-348864,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,Cc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3Cc3ccc(CO)o3)n2)cc1F,NAT18-348867,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,Cc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3CCCc3ccccc3)n2)cc1F,NAT18-348868,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,Cc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3C3CCN(C)CC3)n2)cc1F,NAT18-348875,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,Cc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3Cc3ccc([N+](=O)[O-])cc3)n2)cc1F,NAT18-348877,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
F001,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,Cc1ccc(-c2noc([C@@H]3C[C@@H](O)CN3Cc3ccccn3)n2)cc1F,NAT18-348880,c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,97
